FID,Lat,Long,Dry_days,Wet_days
0,28.75,80.0,286,79
1,29.0,79.25,285,80
2,29.0,79.5,264,101
3,29.0,79.75,274,91
4,29.0,80.0,277,88
5,29.25,79.0,266,99
6,29.25,79.25,264,101
7,29.25,79.5,258,107
8,29.25,79.75,259,106
9,29.25,80.0,233,132
10,29.25,80.25,242,123
11,29.5,78.75,279,86
12,29.5,79.0,300,65
13,29.5,79.25,272,93
14,29.5,79.5,266,99
15,29.5,79.75,231,134
16,29.5,80.0,230,135
17,29.5,80.25,240,125
18,29.75,78.0,280,85
19,29.75,78.25,279,86
20,29.75,78.5,278,87
21,29.75,78.75,286,79
22,29.75,79.0,282,83
23,29.75,79.25,267,98
24,29.75,79.5,238,127
25,29.75,79.75,221,144
26,29.75,80.0,235,130
27,29.75,80.25,256,109
28,30.0,77.75,261,104
29,30.0,78.0,288,77
30,30.0,78.25,264,101
31,30.0,78.5,257,108
32,30.0,78.75,259,106
33,30.0,79.0,244,121
34,30.0,79.25,243,122
35,30.0,79.5,222,143
36,30.0,79.75,214,151
37,30.0,80.0,229,136
38,30.0,80.25,249,116
39,30.0,80.5,250,115
40,30.25,78.0,245,120
41,30.25,78.25,235,130
42,30.25,78.5,239,126
43,30.25,78.75,227,138
44,30.25,79.0,232,133
45,30.25,79.25,248,117
46,30.25,79.5,237,128
47,30.25,79.75,212,153
48,30.25,80.0,223,142
49,30.25,80.25,237,128
50,30.25,80.5,244,121
51,30.25,80.75,246,119
52,30.25,81.0,247,118
53,30.5,78.0,230,135
54,30.5,78.25,245,120
55,30.5,78.5,233,132
56,30.5,78.75,223,142
57,30.5,79.0,234,131
58,30.5,79.25,262,103
59,30.5,79.5,263,102
60,30.5,79.75,225,140
61,30.5,80.0,213,152
62,30.5,80.25,223,142
63,30.75,77.75,245,120
64,30.75,78.0,221,144
65,30.75,78.25,219,146
66,30.75,78.5,216,149
67,30.75,78.75,204,161
68,30.75,79.0,238,127
69,30.75,79.25,257,108
70,30.75,79.5,263,102
71,30.75,79.75,250,115
72,30.75,80.0,218,147
73,31.0,78.0,230,135
74,31.0,78.25,204,161
75,31.0,78.5,195,170
76,31.0,78.75,188,177
77,31.0,79.0,212,153
78,31.0,79.25,254,111
79,31.0,79.5,263,102
80,31.0,79.75,263,102
81,31.25,78.25,205,160
82,31.25,79.0,212,153
