FID,Lat,Long,Dry_days,Wet_days
0,28.75,80.0,268,97
1,29.0,79.25,291,74
2,29.0,79.5,296,69
3,29.0,79.75,266,99
4,29.0,80.0,241,124
5,29.25,79.0,273,92
6,29.25,79.25,263,102
7,29.25,79.5,243,122
8,29.25,79.75,237,128
9,29.25,80.0,240,125
10,29.25,80.25,213,152
11,29.5,78.75,275,90
12,29.5,79.0,257,108
13,29.5,79.25,241,124
14,29.5,79.5,250,115
15,29.5,79.75,239,126
16,29.5,80.0,243,122
17,29.5,80.25,197,168
18,29.75,78.0,271,94
19,29.75,78.25,282,83
20,29.75,78.5,295,70
21,29.75,78.75,260,105
22,29.75,79.0,244,121
23,29.75,79.25,262,103
24,29.75,79.5,235,130
25,29.75,79.75,209,156
26,29.75,80.0,211,154
27,29.75,80.25,193,172
28,30.0,77.75,272,93
29,30.0,78.0,266,99
30,30.0,78.25,251,114
31,30.0,78.5,256,109
32,30.0,78.75,254,111
33,30.0,79.0,242,123
34,30.0,79.25,233,132
35,30.0,79.5,233,132
36,30.0,79.75,217,148
37,30.0,80.0,229,136
38,30.0,80.25,196,169
39,30.0,80.5,191,174
40,30.25,78.0,237,128
41,30.25,78.25,244,121
42,30.25,78.5,259,106
43,30.25,78.75,251,114
44,30.25,79.0,249,116
45,30.25,79.25,230,135
46,30.25,79.5,212,153
47,30.25,79.75,200,165
48,30.25,80.0,217,148
49,30.25,80.25,207,158
50,30.25,80.5,196,169
51,30.25,80.75,196,169
52,30.25,81.0,197,168
53,30.5,78.0,218,147
54,30.5,78.25,226,139
55,30.5,78.5,232,133
56,30.5,78.75,229,136
57,30.5,79.0,248,117
58,30.5,79.25,229,136
59,30.5,79.5,209,156
60,30.5,79.75,196,169
61,30.5,80.0,198,167
62,30.5,80.25,192,173
63,30.75,77.75,223,142
64,30.75,78.0,206,159
65,30.75,78.25,237,128
66,30.75,78.5,267,98
67,30.75,78.75,228,137
68,30.75,79.0,210,155
69,30.75,79.25,200,165
70,30.75,79.5,200,165
71,30.75,79.75,197,168
72,30.75,80.0,196,169
73,31.0,78.0,218,147
74,31.0,78.25,222,143
75,31.0,78.5,227,138
76,31.0,78.75,233,132
77,31.0,79.0,196,169
78,31.0,79.25,201,164
79,31.0,79.5,201,164
80,31.0,79.75,199,166
81,31.25,78.25,260,105
82,31.25,79.0,197,168
