FID,Lat,Long,Dry_days,Wet_days
0,28.75,80.0,245,120
1,29.0,79.25,283,82
2,29.0,79.5,251,114
3,29.0,79.75,246,119
4,29.0,80.0,247,118
5,29.25,79.0,250,115
6,29.25,79.25,253,112
7,29.25,79.5,248,117
8,29.25,79.75,247,118
9,29.25,80.0,247,118
10,29.25,80.25,247,118
11,29.5,78.75,255,110
12,29.5,79.0,248,117
13,29.5,79.25,248,117
14,29.5,79.5,251,114
15,29.5,79.75,249,116
16,29.5,80.0,248,117
17,29.5,80.25,249,116
18,29.75,78.0,263,102
19,29.75,78.25,277,88
20,29.75,78.5,257,108
21,29.75,78.75,242,123
22,29.75,79.0,245,120
23,29.75,79.25,248,117
24,29.75,79.5,248,117
25,29.75,79.75,249,116
26,29.75,80.0,249,116
27,29.75,80.25,250,115
28,30.0,77.75,255,110
29,30.0,78.0,240,125
30,30.0,78.25,233,132
31,30.0,78.5,232,133
32,30.0,78.75,227,138
33,30.0,79.0,232,133
34,30.0,79.25,244,121
35,30.0,79.5,249,116
36,30.0,79.75,250,115
37,30.0,80.0,251,114
38,30.0,80.25,255,110
39,30.0,80.5,256,109
40,30.25,78.0,227,138
41,30.25,78.25,229,136
42,30.25,78.5,227,138
43,30.25,78.75,226,139
44,30.25,79.0,227,138
45,30.25,79.25,233,132
46,30.25,79.5,249,116
47,30.25,79.75,251,114
48,30.25,80.0,256,109
49,30.25,80.25,256,109
50,30.25,80.5,256,109
51,30.25,80.75,256,109
52,30.25,81.0,251,114
53,30.5,78.0,222,143
54,30.5,78.25,237,128
55,30.5,78.5,230,135
56,30.5,78.75,221,144
57,30.5,79.0,234,131
58,30.5,79.25,230,135
59,30.5,79.5,244,121
60,30.5,79.75,256,109
61,30.5,80.0,256,109
62,30.5,80.25,256,109
63,30.75,77.75,237,128
64,30.75,78.0,193,172
65,30.75,78.25,199,166
66,30.75,78.5,212,153
67,30.75,78.75,215,150
68,30.75,79.0,224,141
69,30.75,79.25,248,117
70,30.75,79.5,232,133
71,30.75,79.75,256,109
72,30.75,80.0,256,109
73,31.0,78.0,245,120
74,31.0,78.25,211,154
75,31.0,78.5,205,160
76,31.0,78.75,208,157
77,31.0,79.0,211,154
78,31.0,79.25,228,137
79,31.0,79.5,259,106
80,31.0,79.75,232,133
81,31.25,78.25,216,149
82,31.25,79.0,226,139
