FID,Lat,Long,Dry_days,Wet_days
0,28.75,80.0,283,82
1,29.0,79.25,282,83
2,29.0,79.5,270,95
3,29.0,79.75,265,100
4,29.0,80.0,268,97
5,29.25,79.0,267,98
6,29.25,79.25,255,110
7,29.25,79.5,242,123
8,29.25,79.75,256,109
9,29.25,80.0,259,106
10,29.25,80.25,249,116
11,29.5,78.75,293,72
12,29.5,79.0,255,110
13,29.5,79.25,259,106
14,29.5,79.5,260,105
15,29.5,79.75,256,109
16,29.5,80.0,271,94
17,29.5,80.25,245,120
18,29.75,78.0,278,87
19,29.75,78.25,281,84
20,29.75,78.5,286,79
21,29.75,78.75,267,98
22,29.75,79.0,259,106
23,29.75,79.25,273,92
24,29.75,79.5,278,87
25,29.75,79.75,270,95
26,29.75,80.0,232,133
27,29.75,80.25,225,140
28,30.0,77.75,266,99
29,30.0,78.0,275,90
30,30.0,78.25,256,109
31,30.0,78.5,263,102
32,30.0,78.75,254,111
33,30.0,79.0,249,116
34,30.0,79.25,247,118
35,30.0,79.5,267,98
36,30.0,79.75,229,136
37,30.0,80.0,218,147
38,30.0,80.25,219,146
39,30.0,80.5,218,147
40,30.25,78.0,238,127
41,30.25,78.25,259,106
42,30.25,78.5,275,90
43,30.25,78.75,262,103
44,30.25,79.0,252,113
45,30.25,79.25,234,131
46,30.25,79.5,227,138
47,30.25,79.75,207,158
48,30.25,80.0,220,145
49,30.25,80.25,219,146
50,30.25,80.5,219,146
51,30.25,80.75,221,144
52,30.25,81.0,217,148
53,30.5,78.0,231,134
54,30.5,78.25,241,124
55,30.5,78.5,242,123
56,30.5,78.75,232,133
57,30.5,79.0,237,128
58,30.5,79.25,230,135
59,30.5,79.5,236,129
60,30.5,79.75,207,158
61,30.5,80.0,206,159
62,30.5,80.25,210,155
63,30.75,77.75,247,118
64,30.75,78.0,240,125
65,30.75,78.25,241,124
66,30.75,78.5,243,122
67,30.75,78.75,248,117
68,30.75,79.0,220,145
69,30.75,79.25,225,140
70,30.75,79.5,232,133
71,30.75,79.75,206,159
72,30.75,80.0,199,166
73,31.0,78.0,230,135
74,31.0,78.25,236,129
75,31.0,78.5,240,125
76,31.0,78.75,244,121
77,31.0,79.0,221,144
78,31.0,79.25,215,150
79,31.0,79.5,225,140
80,31.0,79.75,212,153
81,31.25,78.25,222,143
82,31.25,79.0,223,142
