FID,Lat,Long,Dry_days,Wet_days
0,28.75,80.0,283,82
1,29.0,79.25,275,90
2,29.0,79.5,267,98
3,29.0,79.75,255,110
4,29.0,80.0,256,109
5,29.25,79.0,279,86
6,29.25,79.25,254,111
7,29.25,79.5,237,128
8,29.25,79.75,246,119
9,29.25,80.0,241,124
10,29.25,80.25,239,126
11,29.5,78.75,291,74
12,29.5,79.0,263,102
13,29.5,79.25,245,120
14,29.5,79.5,252,113
15,29.5,79.75,247,118
16,29.5,80.0,246,119
17,29.5,80.25,215,150
18,29.75,78.0,266,99
19,29.75,78.25,284,81
20,29.75,78.5,286,79
21,29.75,78.75,271,94
22,29.75,79.0,261,104
23,29.75,79.25,278,87
24,29.75,79.5,252,113
25,29.75,79.75,241,124
26,29.75,80.0,241,124
27,29.75,80.25,215,150
28,30.0,77.75,268,97
29,30.0,78.0,254,111
30,30.0,78.25,234,131
31,30.0,78.5,267,98
32,30.0,78.75,268,97
33,30.0,79.0,247,118
34,30.0,79.25,248,117
35,30.0,79.5,250,115
36,30.0,79.75,239,126
37,30.0,80.0,198,167
38,30.0,80.25,201,164
39,30.0,80.5,203,162
40,30.25,78.0,249,116
41,30.25,78.25,231,134
42,30.25,78.5,271,94
43,30.25,78.75,257,108
44,30.25,79.0,247,118
45,30.25,79.25,229,136
46,30.25,79.5,222,143
47,30.25,79.75,203,162
48,30.25,80.0,197,168
49,30.25,80.25,196,169
50,30.25,80.5,199,166
51,30.25,80.75,200,165
52,30.25,81.0,203,162
53,30.5,78.0,230,135
54,30.5,78.25,240,125
55,30.5,78.5,250,115
56,30.5,78.75,233,132
57,30.5,79.0,224,141
58,30.5,79.25,220,145
59,30.5,79.5,219,146
60,30.5,79.75,195,170
61,30.5,80.0,190,175
62,30.5,80.25,195,170
63,30.75,77.75,241,124
64,30.75,78.0,230,135
65,30.75,78.25,238,127
66,30.75,78.5,237,128
67,30.75,78.75,220,145
68,30.75,79.0,205,160
69,30.75,79.25,209,156
70,30.75,79.5,213,152
71,30.75,79.75,197,168
72,30.75,80.0,198,167
73,31.0,78.0,229,136
74,31.0,78.25,229,136
75,31.0,78.5,231,134
76,31.0,78.75,220,145
77,31.0,79.0,203,162
78,31.0,79.25,213,152
79,31.0,79.5,211,154
80,31.0,79.75,199,166
81,31.25,78.25,222,143
82,31.25,79.0,205,160
